Gender,Subject,Task,FileName,Word,Context,Vowel,F1_5,F2_5,F1_15,F2_15,F1_25,F2_25,F1_35,F2_35,F1_45,F2_45,Vowel_Duration,F1_mid
female,f1,p,picture_task_f1_4,dan,b,\ae,573.12,2146.44,660.39,2107.38,669.59,2188.67,637.73,1990.16,698.24,2008.2,152.97,849.07
female,f1,p,picture_task_f1_4,duck,e,\vt,629,1840.35,679.93,1833.84,790.69,1859.09,805.65,1760.81,801.92,1694.35,159.35,885.25
female,f1,p,picture_task_f1_4,dash,b,\ae,495.02,2132.94,653.05,2288.63,641.84,2093.28,767.26,2093.33,804.42,2147.34,186.17,844.44
female,f1,p,picture_task_f1_4,dub,e,\vt,583.98,1801.61,668.01,1730.6,679.03,1693.39,698.88,1575.48,761.88,1566.89,178.12,846.13
female,f1,p,picture_task_f1_4,bud,b,\vt,648.33,1469.12,663.65,1465.18,767.59,1561.8,761.94,1655.68,720.12,1730.42,203.42,882.93
female,f1,p,picture_task_f1_4,bud,e,\vt,591,1338.7,581.79,1332.35,660.29,1362.41,620.12,1357.02,607.85,1347.02,209.94,886.54
female,f1,p,picture_task_f1_4,bat,b,\ae,669.65,1901.66,770.73,1925,822.71,2034.5,843.74,2031.2,856.98,1996.76,178.16,860.13
female,f1,p,picture_task_f1_4,but,e,\vt,591.36,1244.7,770.14,1393.12,802.41,1501.43,812.1,1543.97,783.56,1552.55,147.41,888.04
female,f1,p,picture_task_f1_4,bad,e,\ae,585.72,2038.71,684.65,2138.17,753.93,2082.91,766.2,2067.65,766.05,1902.45,230.83,914.99
female,f1,p,picture_task_f1_4,buck,b,\vt,723.71,1542.06,856.2,1613.86,830.32,1525.7,846.23,1495.14,883.21,1479.5,154.65,793.92
female,f1,p,picture_task_f1_4,dug,b,\vt,627.76,1913.64,695.81,1380.64,820.89,1672.09,854.16,1717.6,803.06,1537.12,215.49,909.55
female,f1,p,picture_task_f1_4,dan,e,\ae,682.24,2108.27,755.25,1644.86,850.75,2077.38,822.98,1071.87,621.48,1751.21,283.32,904.43
female,f1,p,picture_task_f1_4,dab,b,\ae,596.18,2012.72,682.12,1998.51,724.65,1928.28,787.81,2050.88,771.05,2016.51,229.83,942.46
female,f1,p,picture_task_f1_4,badge,b,\ae,640.66,2006.64,704.79,1977.47,786.1,2078.23,839.11,2026.49,854.57,2006.99,183.12,905.21
female,f1,p,picture_task_f1_4,dad,e,\ae,579.1,2179.45,674.31,2258.06,683.98,2401.71,734.21,2110.8,760.12,2059.68,183.78,853.29
female,f1,p,picture_task_f1_4,bag,e,\ae,654.02,1865.51,736.3,2006.54,830.28,2051.03,851.86,2048.31,869.16,2061.77,275.32,901.09
female,f1,p,picture_task_f1_4,dull,e,\vt,633.03,1880.67,713.57,1748.83,796.72,1433.59,803.61,1641.38,779.57,1589.08,172.87,961.23
female,f1,p,picture_task_f1_4,dam,b,\ae,627.88,2152.11,724.09,2214.71,813.99,2149.13,837.61,2018.62,872.36,2089.14,156.41,899.69
female,f1,p,picture_task_f1_4,dull,b,\vt,576.93,1833.39,625.75,1685.44,738.87,1711.9,746.41,1686.68,741.74,1687.54,158.61,929.3
female,f1,p,picture_task_f1_4,dutch,e,\vt,610.21,1903.86,709.07,1840.25,778.6,1777.6,780.61,1581.37,792.66,1687.87,163.88,859.53
female,f1,p,picture_task_f1_4,budge,e,\vt,638.33,1237.82,667.86,1142.47,752.9,1135.95,710.83,1335.96,707.95,1666.83,157.56,821.1
female,f1,p,picture_task_f1_4,dash,e,\ae,554.21,2218.2,654,2210.99,672.26,2272.14,744.73,2167.26,798.21,2280.51,162.81,855.87
female,f1,p,picture_task_f1_4,back,e,\ae,639.18,2181.81,697.45,2220.94,802.5,2173.36,878.13,2176.15,896.29,2151.65,201.7,750.6
female,f1,p,picture_task_f1_4,dab,e,\ae,579.56,2239.71,674.46,2026.99,705.22,2040.17,820.85,2006.61,856.87,2081.59,183.98,778.88
female,f1,p,picture_task_f1_4,badge,e,\ae,607.97,2026.82,677.33,1964.96,745.86,2112.78,792.97,1980.25,803.87,2071.19,207.69,778.83
female,f1,p,picture_task_f1_4,bag,b,\ae,544.99,1888.96,674.9,2061.86,702.85,2199.84,756.09,2292.08,824.86,2143.35,214.53,757.66
female,f1,p,picture_task_f1_4,back,b,\ae,488.52,1829.46,649.01,2083.12,704.28,2126.26,831.52,2084.04,870.84,2070.68,235.18,797.78
female,f1,p,picture_task_f1_4,but,b,\vt,630.54,1161.62,782.61,1285.28,847.96,1396.9,820.39,1278.56,817.6,1419.68,190.1,794.46
female,f1,p,picture_task_f1_4,buck,e,\vt,639.62,1202.6,736.1,1271.86,822.97,1343.33,824.17,1346.69,814.18,1321.17,168.32,767.42
female,f1,s,sentence_task_f1_2,dam,e,\ae,618.66,2138.11,682.36,2200,672.54,2107,685.62,2064.23,738.3,2062.26,109.67,785.46
female,f1,s,sentence_task_f1_2,dub,b,\vt,708.7,1791.83,800.06,1754.76,836.44,1720.52,831.62,1651.88,826.68,1584.01,156.02,864.94
female,f1,s,sentence_task_f1_2,bad,b,\ae,717.14,1975.05,819.97,2035.53,874.1,2094.72,861.86,2078.44,815.64,2100.11,207.16,758.79
female,f1,s,sentence_task_f1_2,budge,b,\vt,675,1320.06,746.21,1349.88,847.39,1429.4,879.64,1556.67,865.07,1592.56,164.74,772.37
female,f1,s,sentence_task_f1_2,dad,b,\ae,660.7,2148.7,750,2149.52,867.39,2137.44,887.89,2143.2,848.34,2114.38,208.76,800.67
female,f1,s,sentence_task_f1_2,bat,e,\ae,719.2,1974.26,869.83,2071.52,879.66,2056.77,892.76,2082.39,876.09,2135.37,241.24,784.32
female,f1,s,sentence_task_f1_2,dug,e,\vt,711.16,1818.14,826.29,1762.43,850.87,1710.54,839.22,1652.06,841.63,1507.51,252.24,779.24
female,f1,s,sentence_task_f1_2,duck,b,\vt,740.92,1704.18,882.63,1741.6,913.28,1651.78,947.96,1586.91,988.55,1560.11,213.23,794.2
female,f1,s,sentence_task_f1_2,dutch,b,\vt,708.61,1708.15,817.4,1707.42,850.13,1660.89,836.81,1662.15,861.64,1743.09,197.85,824.64
female,f1,s,sentence_task_f1_2,dan,b,\ae,643.18,2020,696.92,2068.38,717.19,2068.92,763.42,2041.79,834.86,2032.33,151.78,826.25
female,f1,s,sentence_task_f1_2,duck,e,\vt,683.18,1813.02,793.88,1779.44,847.71,1712.94,835.93,1585.14,724.33,1399.11,215.33,880.4
female,f1,s,sentence_task_f1_2,dash,b,\ae,630.06,2099.94,704.21,2092.95,786.14,2075.51,841.28,2175.42,847.06,2115.05,174.14,803.62
female,f1,s,sentence_task_f1_2,dub,e,\vt,675.72,1662.3,705.06,1575.77,765.39,1551.45,735.43,1502.12,745.95,1469.54,183.72,793.66
female,f1,s,sentence_task_f1_2,bud,b,\vt,656.94,1276.03,754.8,1318.9,836.99,1397.55,844.41,1526.76,812.39,1582.91,203.06,793.69
female,f1,s,sentence_task_f1_2,bud,e,\vt,652.62,1304.64,681.38,1310.07,807.56,1516.5,835.59,1634.47,757.53,1707.3,166.58,836.87
female,f1,s,sentence_task_f1_2,bug,b,\vt,881.7,1410.69,942.37,1468.02,962.96,1443.15,987.61,1417.76,922.63,1383.1,207.99,803.09
female,f1,s,sentence_task_f1_2,bat,b,\ae,669.54,1839.45,794.17,2038.52,875.76,2104.62,870.08,2025.29,874.08,2047.91,217.9,864.51
female,f1,s,sentence_task_f1_2,but,e,\vt,645.72,1229.91,787.35,1412.94,851.49,1580.9,861.76,1756.69,562.59,1870.76,256.73,702.56
female,f1,s,sentence_task_f1_2,bad,e,\ae,765.67,1959.61,887.6,2009.41,900.82,2006.11,898.98,1979.61,893.31,1928.64,246.95,706.3
female,f1,s,sentence_task_f1_2,buck,b,\vt,706.6,1356.85,887.17,1520.57,993.72,1611.3,1049.09,1694.08,1045.22,1676.9,224.9,666.12
female,f1,s,sentence_task_f1_2,dug,b,\vt,709.65,1794.31,863.44,1761.36,877.49,1674.99,873.41,1555.32,801.42,1462.75,231.32,712.23
female,f1,s,sentence_task_f1_2,dan,e,\ae,646.92,2031.46,700.26,2008.65,762.09,1984.71,795.8,2009.29,808.04,2000.7,165.8,705.67
female,f1,s,sentence_task_f1_2,dab,b,\ae,624.05,1931.42,701.45,1976.72,783.54,1981.31,828.32,1990.16,822.08,1991.56,233.65,686.73
female,f1,s,sentence_task_f1_2,badge,b,\ae,600.32,1816.81,714.73,2015.97,832.61,2001.25,852.02,1984.96,845.11,1971.26,216.31,688.61
female,f1,s,sentence_task_f1_2,dad,e,\ae,606.41,2076.81,680.68,2098.72,797.03,2122.3,800.76,2033.26,813.13,2098.45,211.76,735.84
female,f1,s,sentence_task_f1_2,bag,e,\ae,655.73,1907.84,778.83,2092.02,823.29,2112.34,845.32,2080.35,863.47,2048.7,259.07,645.58
female,f1,s,sentence_task_f1_2,dull,e,\vt,665.59,1697.37,723.31,1651.22,781.95,1610.39,807.25,1567.07,822.24,1611.74,190.26,656.24
female,f1,s,sentence_task_f1_2,dam,b,\ae,634.26,2067.55,704.15,2088.51,738.96,2094.15,816.47,2087.07,853.12,2102.71,164.19,632.98
female,f1,s,sentence_task_f1_2,dull,b,\vt,714.68,2045.37,836.75,2004.12,893.03,1914.47,935.14,1808.44,952.84,1732.95,184.9,671.89
female,f1,s,sentence_task_f1_2,dutch,e,\vt,659.46,1698.02,725.82,1684.8,813.26,1678.1,769.05,1586.59,724.27,1723.22,213.39,675.05
female,f1,s,sentence_task_f1_2,budge,e,\vt,665.21,1250.58,766.01,1321.65,830.19,1469.83,810.33,1533.52,782.12,1709.19,207.2,624.16
female,f1,s,sentence_task_f1_2,dash,e,\ae,581.27,2049.95,680.62,2102.42,727.7,2108.08,823.3,2177.6,848.61,2118.48,172.45,657.61
female,f1,s,sentence_task_f1_2,bug,e,\vt,778.81,1304.72,835.22,1345.88,911.93,1427.13,859.44,1324.54,583.34,1216.46,236.34,610.28
female,f1,s,sentence_task_f1_2,back,e,\ae,707.05,2070.72,844.55,2130.17,875.57,2142.36,876.76,2064.09,897.51,1927.99,225.04,678.12
female,f1,s,sentence_task_f1_2,dab,e,\ae,510.23,2229.25,617.58,2192.74,707.07,2141.23,761.52,2153.41,856.84,2102.86,148.54,661.13
female,f1,s,sentence_task_f1_2,badge,e,\ae,725.63,2028.15,835.78,2051.19,880.76,2044.05,870.13,2052.29,843.81,2074.76,235.53,606.72
female,f1,s,sentence_task_f1_2,bag,b,\ae,580.63,1908.65,712.87,2066.55,820.96,2126.29,830.6,2112.01,837.21,2025.44,253.95,684.67
female,f1,s,sentence_task_f1_2,back,b,\ae,690.31,2047.23,833.35,2178.39,847.29,2235.13,834.84,2192.08,896.28,2125.33,242.22,653.19
female,f1,s,sentence_task_f1_2,but,b,\vt,729.12,1310.04,832.62,1376.45,929.02,1451.87,934.33,1442.13,879.68,1384.68,253.12,611.08
female,f1,s,sentence_task_f1_2,buck,e,\vt,751.35,1307.75,839.3,1305.48,856.18,1292.34,844.46,1178.85,640.65,1190.88,231.94,662.39
female,f1,s,sentence_task_f1_3,dam,e,\ae,640.01,2244.23,702.12,2222.17,832.55,2160.65,858.69,2152.1,867.22,2161.55,166.01,633.61
female,f1,s,sentence_task_f1_3,dub,b,\vt,689.99,1809.76,772.31,1753.1,816.39,1718.06,823.16,1704.8,819.32,1661.4,128.01,610.11
female,f1,s,sentence_task_f1_3,bad,b,\ae,726.58,1922.27,831.3,2071.54,846.94,2090.92,849.28,2096.43,840.56,2100.72,226.31,702.12
female,f1,s,sentence_task_f1_3,budge,b,\vt,663.97,1208.34,786.45,1318.86,780.24,1467.28,767.14,1304.88,797.77,1759.34,197.53,642.2
female,f1,s,sentence_task_f1_3,dad,b,\ae,687.33,2190.93,813.84,2200.4,861.06,2197.21,859.44,2191.78,865.35,2151.51,239.18,665.84
female,f1,s,sentence_task_f1_3,bat,e,\ae,722.66,1950.63,868.7,2065.13,899.82,2091.64,900.67,2101.32,895.44,2130.39,250.91,737.09
female,f1,s,sentence_task_f1_3,dug,e,\vt,730.78,1767.17,838.47,1631.21,833.43,1476.04,790.31,1403.24,638.11,1258.55,276.61,552.76
female,f1,s,sentence_task_f1_3,duck,b,\vt,550.06,1393,920.9,1806.21,1006.01,1822.71,1013.35,1828.93,1021.13,1662.43,292.55,640.94
female,f1,s,sentence_task_f1_3,dutch,b,\vt,674.03,1694.8,808.64,1649.49,878.49,1669.87,894.12,1675.74,863.5,1715.96,211.95,679.16
female,f1,s,sentence_task_f1_3,dan,b,\ae,628.86,2024.67,675.57,2093.77,742.21,2151.58,830.77,2178.09,879.07,2128.66,186.29,681.23
female,f1,s,sentence_task_f1_3,duck,e,\vt,773.44,1739.58,869.62,1713.22,949.69,1717.82,989.55,1488.47,931.74,1209.87,236.12,687.1
female,f1,s,sentence_task_f1_3,dash,b,\ae,662.15,1973.68,684.7,1434.19,774.68,2203.62,830,2179.05,833.08,2192.7,168.01,571.13
female,f1,s,sentence_task_f1_3,dub,e,\vt,614.32,1735.96,700.16,1731.3,735.41,1618.17,773.73,1594.32,825.74,1581.3,133.17,960.85
female,f1,s,sentence_task_f1_3,bud,b,\vt,650.75,1480.49,778.74,1797.43,861.22,1913.19,894.9,1928.63,914.18,1874.15,173.61,979.01
female,f1,s,sentence_task_f1_3,bud,e,\vt,629.56,1252.75,705.63,1339,797.9,1437.4,777.33,1516.53,743.63,1592.37,185.04,623.98
female,f1,s,sentence_task_f1_3,bug,b,\vt,627.89,1297.65,759.19,1357.66,798.89,1416.84,820.15,1430.24,839.2,1406.54,138.94,643.88
female,f1,s,sentence_task_f1_3,bat,b,\ae,708.34,1968.54,878.24,2096.01,877.87,2111.73,899.99,2114.26,878.89,2205.63,248.58,949.58
female,f1,s,sentence_task_f1_3,but,e,\vt,659.48,1279.37,755.22,1332.57,766.43,1460.01,764.39,1498.14,525.37,1695.05,246.03,980.94
female,f1,s,sentence_task_f1_3,bad,e,\ae,788.29,2021.16,874.67,2017.59,886.12,2025.11,868.86,2035.44,837.64,2088.47,235.57,825.73
